Unnamed: 0,name,source,RT_Amide6min,IsomericSMILES,RT,Predicted_RT,是否可定制
0,1,biotree,123.0,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3C=C[C@@]56[C@]4(C[C@H]([C@@]7([C@H]5CC(CC7)(C)C)CO6)O)C)C)C)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O,2.05,2.1362808,是
1,2,biotree,279.6,C(CNC(=O)N)C(=O)O,4.66,2.9090106,是
2,3,biotree,135.6,C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,2.26,2.4423573,是
3,4,biotree,165.0,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)O)OC9C(C(C(CO9)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)C)C)C)NC1,2.75,3.1253014,是
4,5,biotree,171.0,C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I,2.85,2.5926547,是
5,6,biotree,148.8,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,2.48,2.3519416,是
6,7,biotree,130.2,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,2.17,1.8883798,是
7,8,biotree,122.4,CCOC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N6CCN(CC6)C,2.04,2.0954514,是
8,9,biotree,145.8,CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N,2.43,2.6098852,是
9,10,biotree,142.8,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,2.3800000000000003,1.780714,是
10,11,biotree,234.0,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,3.9,3.8008866,是
11,12,biotree,249.6,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,4.16,3.8276405,是
12,13,biotree,199.8,CC(=O)N(CC(CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)C)O)C2=C(C(=C(C(=C2I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,3.33,2.754777,是
13,14,biotree,140.4,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,2.3400000000000003,2.414919,是
14,15,biotree,137.4,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=CCS3)C(=O)O,2.29,2.5765352,是
15,16,biotree,138.0,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)O)C(=O)O)CSC4=NN=NN4CS(=O)(=O)O,2.3,2.3531914,是
16,17,biotree,129.0,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)C(=O)NC)I,2.15,2.3649683,是
17,18,biotree,124.8,CCCCCCCCN=C1C=CN(C=C1)CCCCCCCCCCN2C=CC(=NCCCCCCCC)C=C2,2.08,2.1005135,是
18,19,biotree,151.8,C[C@H]([C@@H](CO)NC(=O)C1CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)C(C)O)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)N)O,2.53,2.4816246,是
19,20,biotree,142.2,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)CC4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O[C@H]9[C@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)O)O)O)O[C@H]2[C@@H]([C@@H](C([C@@H](O2)C)O)O)O)C)C)C)OC1,2.37,2.4940963,是
20,21,biotree,152.4,C1=CC(=CN=C1)CC(=O)O,2.54,2.2659512,是
21,22,biotree,204.0,C(CC(=O)O)CN,3.4,3.3838077,是
22,23,biotree,199.8,C(C(=O)O)(NC(=O)N)NC(=O)N,3.33,3.2534785,是
